Area,Region,Market,Zip, pct College Degree or more,pct Asian, pct AA, pct Hispanic,pct Hispanic & AA, Hispanic & AA Pops, $ Median HH Income, Total Households, Total Pops, Avg HH Size
East,Northeast,New York City,10607,43.9,10.8,26.4,26.4,52.8,4227,118245,2946,8005,2.7
East,Northeast,New York City,10701,21.8,4.3,28.6,48.7,77.3,49909,43667,23359,64565,2.8
East,Northeast,New York City,10704,27.6,6.4,9,23.8,32.8,9960,69089,12550,30366,2.4
East,Northeast,New York City,10705,24.1,6.4,19.7,57.7,77.4,30951,45183,13974,39989,2.9
East,Northeast,New York City,10710,39.5,15.2,12.8,21.2,34,8941,84211,10505,26297,2.5
East,Northeast,New York City,10801,28.8,4.7,25.9,41.4,67.3,28484,59068,14741,42324,2.9
East,Northeast,New York City,10901,43.5,5.4,5,13.7,18.7,4547,88774,9319,24316,2.6
East,Northeast,New York City,10927,17,2.3,13.4,71.7,85.1,11003,44844,3682,12929,3.5
East,Northeast,New York City,10940,21.7,2.3,19.4,34.7,54.1,26994,59755,17974,49897,2.8
East,Northeast,New York City,10941,25.6,4,18.1,23.8,41.9,6000,70096,5116,14321,2.8
East,Northeast,New York City,10950,28.7,2.5,3,11,14,6950,72887,13359,49641,3.7
East,Northeast,New York City,10977,24.2,5,29,24.7,53.7,35698,62639,16304,66477,4.1
East,Northeast,New York City,10994,49.3,11.4,4.2,10.3,14.5,1015,129662,2318,6999,3
East,Northeast,Long Island,11003,26.6,13.3,46.4,23,69.4,29132,88934,12130,41977,3.5
East,Northeast,New York City,11004,39,43.9,4.7,10.7,15.4,1937,83036,4800,12579,2.6
East,Northeast,Long Island,11010,27.4,7.5,2.2,13.8,16,3906,97109,8414,24414,2.9
East,Northeast,Long Island,11040,40.5,39,1.8,10.2,12,4959,107149,13825,41323,3
East,Northeast,Long Island,11050,51,13.2,2.4,17.2,19.6,5915,111980,11080,30178,2.7
East,Northeast,New York City,11101,38.9,20.1,17.7,31.8,49.5,16192,56940,14135,32712,2.3
East,Northeast,New York City,11102,40,18.8,9,31.2,40.2,14992,53494,15379,37293,2.4
East,Northeast,New York City,11103,42.7,17.4,1.8,25.6,27.4,11269,61493,18022,41128,2.3
East,Northeast,New York City,11104,36.7,29.8,2,30.6,32.6,9294,56341,12430,28509,2.3
East,Northeast,New York City,11105,40.8,14,2.1,20,22.1,8580,64192,17182,38822,2.3
East,Northeast,New York City,11106,38.7,22.3,8.4,29.8,38.2,15881,53451,18285,41573,2.3
East,Northeast,New York City,11201,58.3,12,13.1,12.3,25.4,14651,103508,26885,57681,2.1
East,Northeast,New York City,11203,20.5,1.4,89.5,5.7,95.2,75391,52624,27795,79192,2.8
East,Northeast,New York City,11204,23,30.4,0.7,10.7,11.4,9234,49849,26414,81004,3.1
East,Northeast,New York City,11205,36.9,5.8,32.1,19.1,51.2,23854,47459,17545,46590,2.7
East,Northeast,New York City,11206,22.7,6.5,26.5,41.2,67.7,63344,31520,32275,93566,2.9
East,Northeast,New York City,11207,13.8,1.4,65.2,34.3,99.5,99770,35305,34059,100271,2.9
East,Northeast,New York City,11208,12.6,9.9,46.4,41.8,88.2,87878,38695,31202,99635,3.2
East,Northeast,New York City,11209,40.5,14.2,1.6,14.7,16.3,11783,64574,32773,72286,2.2
East,Northeast,New York City,11210,31.4,4.9,49.7,8.2,57.9,42744,59220,25442,73824,2.9
East,Northeast,New York City,11211,41.5,5.5,4.2,28.4,32.6,22251,53946,26796,68254,2.5
East,Northeast,New York City,11212,11.3,0.8,84.6,16.1,100.7,88627,29262,31703,88011,2.8
