Area,Region,Market,Zip, pct College Degree or more,pct Asian, pct AA, pct Hispanic,pct Hispanic & AA, Hispanic & AA Pops, $ Median HH Income, Total Households, Total Pops, Avg HH Size
East,Mid-Atlantic,Winston / Salem,27295,16.6,2.6,4.7,4.4,9.1,3467,47047,15199,38103,2.5
East,Mid-Atlantic,Winston / Salem,27302,24.6,0.9,20.8,7.6,28.4,8397,47847,11919,29566,2.5
East,Mid-Atlantic,Winston / Salem,27316,9.9,0.7,12.1,12.5,24.6,1678,39270,2615,6823,2.6
East,Mid-Atlantic,Winston / Salem,27317,11.2,0.7,4.8,11.5,16.3,2794,40675,6654,17140,2.6
East,Mid-Atlantic,Winston / Salem,27320,13.9,0.6,25.2,6.2,31.4,12142,41334,15825,38670,2.4
East,Mid-Atlantic,Raleigh / Durham,27330,19.8,1.2,21.6,19.2,40.8,16202,51771,15152,39710,2.6
East,Mid-Atlantic,Raleigh / Durham,27332,18.4,1.6,17.4,16.8,34.2,11430,53445,12246,33422,2.7
East,Mid-Atlantic,Raleigh / Durham,27344,14.2,0.7,16.5,30.1,46.6,9293,42286,7106,19942,2.8
East,Mid-Atlantic,Winston / Salem,27360,15.2,0.9,12.7,10.5,23.2,10730,41266,17882,46250,2.6
East,Mid-Atlantic,Winston / Salem,27401,24,2,70,6.1,76.1,15125,27505,7946,19875,2.5
East,Mid-Atlantic,Winston / Salem,27403,37.4,5.2,24,7.4,31.4,6608,35598,8920,21043,2.4
East,Mid-Atlantic,Winston / Salem,27405,16.7,5.8,57,11.6,68.6,34225,33088,19447,49891,2.6
East,Mid-Atlantic,Winston / Salem,27406,23.3,2,60,7.8,67.8,41356,39445,24085,60997,2.5
East,Mid-Atlantic,Winston / Salem,27407,29.7,9,34,15.5,49.5,23705,46713,19331,47889,2.5
East,Mid-Atlantic,Winston / Salem,27408,48.5,3.4,10.9,3.2,14.1,2446,57635,8060,17350,2.2
East,Mid-Atlantic,Winston / Salem,27409,33.3,5.9,38.4,8.5,46.9,8760,42163,9617,18678,1.9
East,Mid-Atlantic,Winston / Salem,27455,44.3,3.4,21.6,4,25.6,7875,60381,12752,30760,2.4
East,Mid-Atlantic,Raleigh / Durham,27501,17.8,0.7,11.7,20.1,31.8,6531,50879,7629,20537,2.7
East,Mid-Atlantic,Raleigh / Durham,27502,56.2,7,7.3,7.3,14.6,5849,91392,13900,40059,2.9
East,Mid-Atlantic,Raleigh / Durham,27504,16.1,0.5,11.2,12.9,24.1,3944,45811,6357,16364,2.6
East,Mid-Atlantic,Raleigh / Durham,27509,9.8,0.5,40.1,15.5,55.6,4509,45725,1657,8109,4.9
East,Mid-Atlantic,Raleigh / Durham,27510,55.1,8.8,12.7,18.5,31.2,4541,41496,7086,14553,2.1
East,Mid-Atlantic,Raleigh / Durham,27511,44.2,5,9.5,16.1,25.6,8761,69993,14046,34224,2.4
East,Mid-Atlantic,Raleigh / Durham,27518,63.9,9.2,6.2,4,10.2,2326,111481,8981,22801,2.5
East,Mid-Atlantic,Raleigh / Durham,27520,25.5,1.2,20,11.5,31.5,12628,57888,15202,40089,2.6
East,Mid-Atlantic,Raleigh / Durham,27522,19.9,1.1,25.2,6.8,32,4042,59113,4957,12632,2.5
East,Mid-Atlantic,Raleigh / Durham,27526,33.9,1.6,14.5,9.6,24.1,11587,66126,17565,48080,2.7
East,Mid-Atlantic,Raleigh / Durham,27529,28.4,1.5,27.8,10.6,38.4,18723,61206,18320,48758,2.7
East,Mid-Atlantic,Raleigh / Durham,27530,16.1,1.2,41.8,6.2,48,19278,32647,16040,40163,2.5
East,Mid-Atlantic,Raleigh / Durham,27534,21.4,2.7,30.9,8.7,39.6,12824,41251,13521,32385,2.4
East,Mid-Atlantic,Raleigh / Durham,27536,14.5,0.9,63.5,7.3,70.8,11954,27201,6686,16884,2.5
East,Mid-Atlantic,Raleigh / Durham,27537,11.8,0.3,42.5,7.8,50.3,12654,38709,9392,25157,2.7
East,Mid-Atlantic,Raleigh / Durham,27542,12.6,0.2,14.7,10.5,25.2,2574,43396,4015,10214,2.5
East,Mid-Atlantic,Raleigh / Durham,27545,29.6,1.9,35.1,18,53.1,15505,61139,10594,29199,2.8
East,Mid-Atlantic,Raleigh / Durham,27546,20.2,1.3,22.6,10.2,32.8,7141,45507,7586,21770,2.9
East,Mid-Atlantic,Raleigh / Durham,27549,17.6,0.3,32,7.9,39.9,9749,43601,9297,24433,2.6
East,Mid-Atlantic,Raleigh / Durham,27565,16.5,0.5,41.1,6.6,47.7,12402,45608,10192,25999,2.6
East,Mid-Atlantic,Raleigh / Durham,27573,10.5,0.6,41.6,7.4,49,5323,34841,4538,10863,2.4
East,Mid-Atlantic,Raleigh / Durham,27576,10.2,0.2,20.7,24,44.7,8840,37259,7459,19777,2.7
East,Mid-Atlantic,Raleigh / Durham,27577,17,0.7,22.8,17.3,40.1,9632,42211,8917,24021,2.7
East,Mid-Atlantic,Raleigh / Durham,27587,44.2,3.1,13.1,5.9,19,13082,76513,24150,68851,2.9
East,Mid-Atlantic,Raleigh / Durham,27591,20,0.9,24.6,14.9,39.5,9010,50959,8347,22810,2.7
East,Mid-Atlantic,Raleigh / Durham,27596,19.1,0.8,13.2,7.2,20.4,3376,56601,6090,16547,2.7
East,Mid-Atlantic,Raleigh / Durham,27597,16.1,0.6,23.5,13,36.5,9091,51027,9283,24907,2.7
East,Mid-Atlantic,Raleigh / Durham,27601,24.5,0.5,66.5,8.4,74.9,8056,23123,3952,10756,2.7
East,Mid-Atlantic,Raleigh / Durham,27603,33.4,2.5,19.1,13.8,32.9,18007,55110,21006,54733,2.6
East,Mid-Atlantic,Raleigh / Durham,27604,32.6,5.1,35.8,19.6,55.4,25786,51835,18727,46545,2.5
East,Mid-Atlantic,Raleigh / Durham,27606,49.6,10.8,16.9,8.8,25.7,13353,46717,19918,51956,2.6
East,Mid-Atlantic,Raleigh / Durham,27609,46,2.3,18.4,12.8,31.2,11524,56945,16979,36937,2.2
East,Mid-Atlantic,Raleigh / Durham,27610,23.9,1.8,64.7,18.3,83,62760,45467,25439,75614,3
East,Mid-Atlantic,Raleigh / Durham,27612,55.7,4.2,13.5,8.9,22.4,8609,65511,18615,38435,2.1
East,Mid-Atlantic,Raleigh / Durham,27616,38.1,6.9,38.8,16.1,54.9,27737,64676,18075,50522,2.8
East,Mid-Atlantic,Raleigh / Durham,27617,60.1,12.1,18.4,5.8,24.2,4789,96042,9301,19791,2.1
East,Mid-Atlantic,Raleigh / Durham,27701,29.4,3.4,45.2,19.4,64.6,16939,26434,9982,26221,2.6
East,Mid-Atlantic,Raleigh / Durham,27703,31.8,2.5,48.7,17.1,65.8,34606,51210,19680,52593,2.7
East,Mid-Atlantic,Raleigh / Durham,27704,25,1.4,53.8,17.2,71,27377,40015,14656,38559,2.6
East,Mid-Atlantic,Raleigh / Durham,27705,43.4,6.7,20.4,15.1,35.5,17022,43097,21530,47948,2.2
East,Mid-Atlantic,Raleigh / Durham,27707,43.2,4.4,40.8,15.6,56.4,27759,49253,20048,49218,2.5
East,Mid-Atlantic,Raleigh / Durham,27713,57.7,7.6,36.1,8.3,44.4,24387,65654,24158,54925,2.3
East,Mid-Atlantic,Raleigh / Durham,27801,7.6,0.1,73,1.9,74.9,15877,28872,7974,21198,2.7
East,Mid-Atlantic,Raleigh / Durham,27803,16.2,0.8,48.3,3.3,51.6,11728,41985,9026,22729,2.5
East,Mid-Atlantic,Raleigh / Durham,27804,23.5,1.9,45.5,5.3,50.8,14687,49815,11814,28911,2.4
East,Mid-Atlantic,Raleigh / Durham,27828,18.4,0.6,41.2,6.7,47.9,4160,38477,3464,8685,2.5
East,Mid-Atlantic,Raleigh / Durham,27834,21.5,2,52.8,7.5,60.3,34580,35511,23676,57346,2.4
East,Mid-Atlantic,Raleigh / Durham,27856,15.3,0.4,36.3,3.6,39.9,6737,50880,6309,16884,2.7
East,Mid-Atlantic,Raleigh / Durham,27858,38.4,2.5,18.4,4.2,22.6,13050,45810,23681,57743,2.4
East,Mid-Atlantic,Raleigh / Durham,27870,13.8,1.3,39.8,3.5,43.3,11445,35983,10769,26433,2.5
East,Mid-Atlantic,Raleigh / Durham,27886,11.4,0.4,50.9,7.1,58,12296,34602,8123,21200,2.6
East,Mid-Atlantic,Raleigh / Durham,27889,22.8,0.6,27.9,11.2,39.1,10727,41272,11190,27436,2.5
East,Mid-Atlantic,Raleigh / Durham,27892,14.4,0.6,39.4,3.6,43,6366,38394,6172,14805,2.4
East,Mid-Atlantic,Raleigh / Durham,27893,13.7,0.6,51.8,12.9,64.7,26818,33134,16375,41449,2.5
East,Mid-Atlantic,Raleigh / Durham,27896,33.8,2.6,26.9,6.3,33.2,6785,60081,8143,20436,2.5
East,Mid-Atlantic,Norfolk,27909,19.2,1.4,36.7,4.9,41.6,16687,47216,15023,40113,2.7
East,Mid-Atlantic,Charlotte,28001,17.4,2.9,15.2,3.7,18.9,5232,39708,11302,27681,2.4
East,Mid-Atlantic,Charlotte,28012,26.3,3.8,7.2,4.1,11.3,2516,53760,8701,22262,2.6
East,Mid-Atlantic,Charlotte,28016,8.5,0.5,10.4,4.3,14.7,2057,37967,5431,13995,2.6
East,Mid-Atlantic,Charlotte,28025,20.8,1,16.8,13.1,29.9,16435,51469,20382,54968,2.7
East,Mid-Atlantic,Charlotte,28027,29.6,3.9,15.9,11.6,27.5,17863,62699,23965,64955,2.7
East,Mid-Atlantic,Charlotte,28034,11.5,0.5,9.8,4.6,14.4,2634,41682,6999,18291,2.6
East,Mid-Atlantic,Charlotte,28037,30.5,0.9,2.9,3.3,6.2,1251,75894,7977,20180,2.5
East,Mid-Atlantic,Charlotte,28043,12.8,0.7,13.9,6.9,20.8,4417,34681,8538,21236,2.5
East,Mid-Atlantic,Charlotte,28052,10.2,0.6,35,10.7,45.7,16327,31415,13032,35726,2.7
East,Mid-Atlantic,Charlotte,28054,20.9,1.9,23.9,11.9,35.8,13628,41797,15470,38067,2.5
East,Mid-Atlantic,Charlotte,28056,24.8,2.1,9.8,6.2,16,5356,55443,12611,33477,2.7
East,Mid-Atlantic,Charlotte,28078,48.8,3.8,11.3,7.8,19.1,12202,92166,23695,63886,2.7
East,Mid-Atlantic,Charlotte,28079,34.2,2.9,9.6,8.4,18,6763,70267,12755,37573,2.9
East,Mid-Atlantic,Charlotte,28083,14.8,1.4,24.5,11.7,36.2,9127,40955,9810,25212,2.6
East,Mid-Atlantic,Charlotte,28092,12.9,0.7,7.8,10.9,18.7,7304,43844,15113,39059,2.6
East,Mid-Atlantic,Charlotte,28105,44.5,5.8,13.7,7.9,21.6,9440,77827,16758,43702,2.6
East,Mid-Atlantic,Charlotte,28110,19.6,1.7,13.8,19.1,32.9,18538,56987,19259,56348,2.9
East,Mid-Atlantic,Charlotte,28115,22.7,2.3,10.1,6.5,16.6,6436,58067,14565,38774,2.7
East,Mid-Atlantic,Charlotte,28117,41.3,4.3,3.7,4.4,8.1,3270,82726,15212,40372,2.7
East,Mid-Atlantic,Charlotte,28134,34.4,6.6,20.1,19.5,39.6,4138,59696,4442,10449,2.4
East,Mid-Atlantic,Charlotte,28144,24.6,1.7,43.1,6.7,49.8,12541,41393,9466,25182,2.7
East,Mid-Atlantic,Charlotte,28146,16.2,1.1,8.2,4.9,13.1,3901,51452,11833,29775,2.5
East,Mid-Atlantic,Charlotte,28147,17.9,1.4,16.8,15.1,31.9,8006,48874,9076,25098,2.8
East,Mid-Atlantic,Charlotte,28152,19.2,0.8,22.5,3.6,26.1,6526,42093,9474,25003,2.6
East,Mid-Atlantic,Charlotte,28160,10.6,0.9,26.4,3.5,29.9,1174,31339,1586,3927,2.5
East,Mid-Atlantic,Charlotte,28170,10.1,1.2,53.3,2.3,55.6,6375,30465,4480,11465,2.6
East,Mid-Atlantic,Charlotte,28202,58.4,5,32.6,3.9,36.5,5299,73427,7587,14517,1.9
East,Mid-Atlantic,Charlotte,28203,48.2,2.8,32,2.9,34.9,5025,63302,7592,14397,1.9
East,Mid-Atlantic,Charlotte,28205,27.9,6.2,33.5,20.5,54,26018,40042,20212,48181,2.4
East,Mid-Atlantic,Charlotte,28206,11.9,2.7,73.6,11.9,85.5,11397,25033,4627,13330,2.9
East,Mid-Atlantic,Charlotte,28208,10.9,4.6,73.6,8.3,81.9,32292,29562,14638,39429,2.7
East,Mid-Atlantic,Charlotte,28210,47.2,3.8,15.8,15.8,31.6,15100,65602,21816,47786,2.2
East,Mid-Atlantic,Charlotte,28211,57.6,4.3,14.1,5,19.1,6012,83187,13346,31479,2.4
East,Mid-Atlantic,Charlotte,28212,21.9,4.5,43.9,31.4,75.3,31451,38541,15844,41767,2.6
East,Mid-Atlantic,Charlotte,28213,28.9,4.7,51.2,22.5,73.7,32371,48075,16324,43923,2.7
East,Mid-Atlantic,Charlotte,28214,24.4,5.8,42,11.8,53.8,21944,59461,14759,40788,2.8
East,Mid-Atlantic,Charlotte,28215,23.6,3.5,51.3,20.5,71.8,43374,49418,21348,60410,2.8
East,Mid-Atlantic,Charlotte,28216,25.8,3.2,64.4,8.5,72.9,40973,50994,20943,56204,2.7
East,Mid-Atlantic,Charlotte,28217,20.9,8.3,45.1,33.6,78.7,22455,45474,10600,28532,2.7
East,Mid-Atlantic,Charlotte,28226,54,5.1,7.6,7.8,15.4,6347,84870,17347,41216,2.4
East,Mid-Atlantic,Charlotte,28227,26.2,3.1,27,16,43,24707,57938,21449,57457,2.7
East,Mid-Atlantic,Charlotte,28262,44.8,15.4,40.5,9.4,49.9,22565,58000,17262,45220,2.6
East,Mid-Atlantic,Charlotte,28269,41.1,7.7,44.5,9.9,54.4,44804,67202,31251,82361,2.6
East,Mid-Atlantic,Charlotte,28273,34.1,8.5,35.1,21.6,56.7,21581,63870,14781,38062,2.6
East,Mid-Atlantic,Raleigh / Durham,28301,18.1,0.7,76,4.4,80.4,13914,23249,6904,17306,2.5
East,Mid-Atlantic,Raleigh / Durham,28303,26,4.9,39,12.1,51.1,15628,42305,12968,30584,2.4
East,Mid-Atlantic,Raleigh / Durham,28304,21,3.2,38.8,12.6,51.4,20590,44068,15779,40059,2.5
East,Mid-Atlantic,Raleigh / Durham,28306,22.1,2.4,30.9,11.7,42.6,17990,49316,15747,42231,2.7
East,Mid-Atlantic,Raleigh / Durham,28311,29.8,2.6,42.2,9.5,51.7,19071,47671,14746,36887,2.5
East,Mid-Atlantic,Raleigh / Durham,28314,24.5,4.4,44.5,15.8,60.3,33386,46961,22124,55367,2.5
East,Mid-Atlantic,Raleigh / Durham,28328,13.3,0.6,29.8,20.1,49.9,13738,32669,10256,27531,2.7
East,Mid-Atlantic,Raleigh / Durham,28334,12.5,0.6,24.1,9.9,34,9023,39877,10603,26537,2.5
East,Mid-Atlantic,Raleigh / Durham,28348,18.4,1.5,28,11,39,13923,47886,12889,35700,2.8
East,Mid-Atlantic,Raleigh / Durham,28352,18,0.8,41.6,3,44.6,11358,33786,9115,25467,2.8
East,Mid-Atlantic,Raleigh / Durham,28358,12.9,1.4,30.8,6.5,37.3,14405,33698,14314,38620,2.7
East,Mid-Atlantic,Raleigh / Durham,28365,12.4,0.7,22.2,22.6,44.8,7967,33040,6786,17783,2.6
East,Mid-Atlantic,Raleigh / Durham,28376,18.5,1.6,35.1,13.4,48.5,21435,46918,15478,44196,2.9
East,Mid-Atlantic,Raleigh / Durham,28379,11.4,1.2,29.1,6.6,35.7,9141,35717,10411,25606,2.5
East,Mid-Atlantic,Raleigh / Durham,28387,35.2,1.3,21.1,4.9,26,3964,51057,7171,15246,2.1
East,Mid-Atlantic,Raleigh / Durham,28390,16.1,3.4,34,13.2,47.2,10443,38265,8613,22126,2.6
East,Mid-Atlantic,Raleigh / Durham,28398,10.7,0.5,44.3,21,65.3,4928,28700,2930,7547,2.6
East,Mid-Atlantic,Myrtle Beach,28403,39.5,1.4,13.7,7.2,20.9,8158,36235,17153,39033,2.3
East,Mid-Atlantic,Myrtle Beach,28411,41.8,2.3,7.4,3.9,11.3,4171,70775,14835,36912,2.5
East,Mid-Atlantic,Myrtle Beach,28412,34.7,1.9,7.8,6.7,14.5,5944,52406,17991,40995,2.3
East,Mid-Atlantic,Myrtle Beach,28451,22,1.3,17.3,7,24.3,8112,50894,13272,33384,2.5
East,Mid-Atlantic,Raleigh / Durham,28466,11,0.3,23,16.3,39.3,3991,34659,4074,10155,2.5
East,Mid-Atlantic,Myrtle Beach,28470,19.3,0.7,10.9,5.5,16.4,2015,42103,5111,12289,2.4
East,Mid-Atlantic,Myrtle Beach,28472,15.7,0.7,30.1,5.1,35.2,6956,35451,7779,19761,2.5
East,Mid-Atlantic,Raleigh / Durham,28501,12.7,0.7,65,4,69,13812,27891,8478,20018,2.4
East,Mid-Atlantic,Raleigh / Durham,28503,0,0,0,0,0, -   , -   , -   , -   ,0
East,Mid-Atlantic,Raleigh / Durham,28504,18.8,0.9,29.5,7.5,37,7889,44725,8575,21321,2.5
East,Mid-Atlantic,Raleigh / Durham,28513,14.6,0.3,33,6.5,39.5,4185,37304,4313,10596,2.5
East,Mid-Atlantic,Myrtle Beach,28532,14.4,3.4,18.6,12,30.6,8106,45417,8565,26489,3.1
East,Mid-Atlantic,Myrtle Beach,28540,17.7,1.9,18.5,13.4,31.9,17702,47774,19316,55491,2.9
East,Mid-Atlantic,Myrtle Beach,28544,18.1,1.9,21.8,18.7,40.5,2636,38015,2509,6508,2.6
East,Mid-Atlantic,Myrtle Beach,28546,20.5,3.7,22.1,15.5,37.6,18289,52253,18413,48641,2.6
East,Mid-Atlantic,Raleigh / Durham,28551,15.4,0.6,30.7,11.2,41.9,5356,42172,5068,12783,2.5
East,Mid-Atlantic,Myrtle Beach,28557,26.8,2.2,7.4,7.5,14.9,2159,51170,6667,14489,2.2
East,Mid-Atlantic,Myrtle Beach,28560,21.6,2.4,20.9,5.9,26.8,7914,45030,11994,29531,2.5
East,Mid-Atlantic,Myrtle Beach,28562,29.5,3.1,19.9,6,25.9,9881,50730,15905,38150,2.4
East,Mid-Atlantic,Myrtle Beach,28570,15,1.6,5.7,6.1,11.8,2652,51525,8905,22473,2.5
East,Mid-Atlantic,Raleigh / Durham,28580,11.9,0.5,38,13.1,51.1,6665,39112,4139,13044,3.2
East,Mid-Atlantic,Raleigh / Durham,28590,36.3,2.8,29.1,4.8,33.9,8460,54469,9796,24956,2.5
East,Mid-Atlantic,Charlotte,28601,27.6,3.7,6.4,10.1,16.5,8515,48403,21124,51607,2.4
East,Mid-Atlantic,Charlotte,28602,17.2,4.6,14.1,8.1,22.2,6531,42731,11524,29418,2.6
East,Mid-Atlantic,Charlotte,28613,16.3,6.8,6.6,12.7,19.3,4488,48811,9025,23253,2.6
East,Mid-Atlantic,Winston / Salem,28621,15.6,0.5,3.3,12.3,15.6,1652,38383,4222,10592,2.5
East,Mid-Atlantic,Charlotte,28625,19,2.8,11.9,8.9,20.8,7975,52113,14938,38339,2.6
East,Mid-Atlantic,Charlotte,28630,14.4,0.8,0.9,4.3,5.2,1003,47075,7505,19294,2.6
East,Mid-Atlantic,Charlotte,28645,11.9,0.7,7.8,5.7,13.5,6325,37036,18794,46851,2.5
East,Mid-Atlantic,Charlotte,28655,16.8,3.4,9.1,8.4,17.5,9836,42075,21890,56203,2.6
East,Mid-Atlantic,Charlotte,28658,18.1,4.5,9.8,10.1,19.9,5181,45012,10041,26037,2.6
East,Mid-Atlantic,Charlotte,28659,11.8,0.4,6.4,8.5,14.9,3063,31283,8302,20560,2.5
East,Mid-Atlantic,Charlotte,28677,15.4,1.1,25.8,10.1,35.9,12466,42811,13712,34723,2.5
East,Mid-Atlantic,Charlotte,28681,11.4,1,6.9,4.3,11.2,2882,43229,9846,25734,2.6
East,Mid-Atlantic,Charlotte,28697,18.9,0.9,6,9,15,2059,40780,5633,13724,2.4
East,Mid-Atlantic,Charlotte,28715,21.4,0.8,1.4,6.3,7.7,2003,50508,10548,26008,2.5
East,Mid-Atlantic,Charlotte,28732,32,2.7,4.8,5,9.8,1675,55680,6851,17087,2.5
East,Mid-Atlantic,Charlotte,28734,17.5,0.9,1.9,7.1,9,2499,38833,11603,27765,2.4
East,Mid-Atlantic,Charlotte,28752,13.7,0.7,4.3,7,11.3,3482,40941,11949,30817,2.6
East,Mid-Atlantic,Charlotte,28786,23.6,0.6,1.7,4.7,6.4,1331,42865,9151,20801,2.3
East,Mid-Atlantic,Charlotte,28791,34.9,1.1,3,6.5,9.5,1440,55860,6641,15156,2.3
East,Mid-Atlantic,Charlotte,28792,19.9,1.2,4.6,16.6,21.2,7447,42300,14458,35129,2.4
East,Mid-Atlantic,Charlotte,28803,41,2.8,11.2,7.3,18.5,5561,55754,13733,30058,2.2
East,Mid-Atlantic,Charlotte,28805,39.5,1.7,6.4,3.9,10.3,2145,51985,9460,20824,2.2
East,Mid-Atlantic,Charlotte,28806,28.2,1,7.9,12.3,20.2,8513,42691,17817,42143,2.4
East,Mid-Atlantic,South Carolina,29053,11.5,0.3,19.4,7,26.4,5393,40103,7213,20429,2.8
East,Mid-Atlantic,South Carolina,29072,43,3.5,7.7,4,11.7,6780,77248,21811,57951,2.7
East,Mid-Atlantic,South Carolina,29073,20.5,1,11.1,5.2,16.3,7432,55615,17079,45593,2.7
East,Mid-Atlantic,South Carolina,29078,18.4,0.9,17.8,4.2,22,3474,52444,5870,15793,2.7
East,Mid-Atlantic,South Carolina,29108,19.6,0.9,38.5,11.7,50.2,10370,37303,7655,20657,2.7
East,Mid-Atlantic,South Carolina,29115,20.9,0.7,72.9,2.4,75.3,21985,29923,11272,29197,2.6
East,Mid-Atlantic,South Carolina,29118,30,3.2,58.7,3.1,61.8,9761,42232,6120,15795,2.6
East,Mid-Atlantic,South Carolina,29150,20,1.6,51.5,4.1,55.6,21696,33769,15156,39021,2.6
East,Mid-Atlantic,South Carolina,29154,18.8,1.6,34.5,3.6,38.1,11374,47639,11205,29852,2.7
East,Mid-Atlantic,South Carolina,29169,29,2.3,19,15.9,34.9,8352,43300,10382,23930,2.3
East,Mid-Atlantic,South Carolina,29201,42.3,3.8,25.3,3.4,28.7,6042,28882,8933,21051,2.4
East,Mid-Atlantic,South Carolina,29203,18.9,0.5,80.8,3.9,84.7,35692,30828,15777,42139,2.7
East,Mid-Atlantic,South Carolina,29204,31.1,0.6,61.2,2.2,63.4,12884,35862,8181,20321,2.5
East,Mid-Atlantic,South Carolina,29205,51.2,3,21.5,4.4,25.9,6442,43628,11683,24872,2.1
East,Mid-Atlantic,South Carolina,29206,51.7,1.9,18.6,5.3,23.9,4410,63279,8002,18450,2.3
East,Mid-Atlantic,South Carolina,29209,33.5,2.7,49.7,3.7,53.4,18848,50329,14260,35295,2.5
East,Mid-Atlantic,South Carolina,29210,34.8,2.8,57.5,3.7,61.2,22255,39222,16699,36364,2.2
East,Mid-Atlantic,South Carolina,29212,34.1,3,30.1,3,33.1,11622,65564,12494,35112,2.8
East,Mid-Atlantic,South Carolina,29223,32.3,4.8,50.7,10.3,61,34330,55379,21763,56278,2.6
East,Mid-Atlantic,South Carolina,29229,39.3,4.7,52.9,6.4,59.3,30172,70998,18047,50881,2.8
East,Mid-Atlantic,South Carolina,29301,24.1,4.8,33.1,13.4,46.5,15752,44555,13173,33875,2.6
East,Mid-Atlantic,South Carolina,29302,36.4,3.8,20.8,2.8,23.6,3978,54816,6976,16858,2.4
East,Mid-Atlantic,South Carolina,29303,11.4,2.5,33.4,13.4,46.8,12239,32490,9301,26151,2.8
East,Mid-Atlantic,South Carolina,29306,17.5,1.4,63.4,3.3,66.7,10616,29037,6479,15916,2.5
East,Mid-Atlantic,South Carolina,29307,26.8,1.3,16.5,3.3,19.8,4016,45128,9039,20284,2.2
East,Mid-Atlantic,South Carolina,29316,24.9,4.2,12,5.3,17.3,4408,57185,9585,25482,2.7
East,Mid-Atlantic,South Carolina,29325,20.8,0.7,31.8,2.2,34,5308,36673,5537,15613,2.8
East,Mid-Atlantic,South Carolina,29341,16.4,1.3,29.2,6.2,35.4,6964,46710,7680,19672,2.6
East,Mid-Atlantic,South Carolina,29360,16.3,0.3,32.7,6.6,39.3,8256,37188,8170,21007,2.6
East,Mid-Atlantic,South Carolina,29379,14,0.4,33,1.5,34.5,6624,38735,7834,19200,2.5
East,Mid-Atlantic,South Carolina,29388,15.2,0.8,13.9,5.3,19.2,2912,46653,5791,15167,2.6
East,Southeast,GA/SC Coast,29403,34.7,1.4,44.6,1.9,46.5,11645,31127,9578,25042,2.6
East,Southeast,GA/SC Coast,29405,14.5,0.7,68.5,3.4,71.9,21019,27375,10913,29234,2.7
East,Southeast,GA/SC Coast,29406,17.6,2.8,37.6,17.4,55,17847,37501,12636,32449,2.6
East,Southeast,GA/SC Coast,29407,37.7,1.6,31.2,2.7,33.9,12632,51491,17106,37264,2.2
East,Southeast,GA/SC Coast,29412,45.2,1,13.7,1.7,15.4,6390,64321,18489,41492,2.2
East,Southeast,GA/SC Coast,29418,20.5,2.5,46.7,11,57.7,15155,45808,10596,26265,2.5
East,Mid-Atlantic,Myrtle Beach,29440,14.6,0.5,45.2,4.4,49.6,14603,37264,11184,29442,2.6
East,Southeast,GA/SC Coast,29445,23.2,5,21.8,8.5,30.3,18125,59397,20948,59820,2.9
East,Southeast,GA/SC Coast,29456,17.9,2.8,27.4,9.2,36.6,10830,54563,10526,29589,2.8
East,Southeast,GA/SC Coast,29461,17.7,0.7,26.6,3.8,30.4,11397,52832,13823,37491,2.7
East,Southeast,GA/SC Coast,29464,56,1.7,7.1,2.5,9.6,4694,75954,21340,48898,2.3
East,Southeast,GA/SC Coast,29466,58.6,2.4,8.3,2.2,10.5,3856,96753,13235,36725,2.8
East,Southeast,GA/SC Coast,29483,25,1,20.7,5,25.7,13350,56471,19068,51947,2.7
East,Southeast,GA/SC Coast,29485,29.6,2.5,18.4,5,23.4,12965,62900,20214,55406,2.7
East,Southeast,GA/SC Coast,29488,14.4,0.5,40.9,3.4,44.3,9676,37143,8176,21843,2.7
East,Mid-Atlantic,Myrtle Beach,29501,28.3,2.7,33.2,2.3,35.5,15607,51804,17898,43964,2.5
East,Mid-Atlantic,Myrtle Beach,29505,25.9,2.2,35,1.9,36.9,8901,59030,9671,24122,2.5
East,Mid-Atlantic,Charlotte,29520,15.1,1,44.9,1.1,46,6538,37767,5648,14212,2.5
East,Mid-Atlantic,Myrtle Beach,29526,19.2,0.8,17,5.8,22.8,10285,45393,16949,45110,2.7
East,Mid-Atlantic,Myrtle Beach,29532,12.2,0.3,47.8,2,49.8,10263,35444,7950,20609,2.6
East,Mid-Atlantic,Myrtle Beach,29536,8.4,0.4,51,2.9,53.9,9124,32183,6165,16928,2.7
East,Mid-Atlantic,Myrtle Beach,29550,18.7,0.8,30.6,2.8,33.4,10668,40426,12419,31940,2.6
East,Mid-Atlantic,Myrtle Beach,29560,12.4,0.4,60.2,2.6,62.8,8790,32191,5331,13997,2.6
East,Mid-Atlantic,Myrtle Beach,29569,11.8,0.4,29.2,3.7,32.9,5937,34623,6855,18046,2.6
East,Mid-Atlantic,Myrtle Beach,29571,15.8,0.6,59.5,2.2,61.7,9534,34326,6157,15452,2.5
East,Mid-Atlantic,Myrtle Beach,29574,12.4,0.7,53.4,2.1,55.5,6388,33253,4543,11510,2.5
East,Mid-Atlantic,Myrtle Beach,29575,28.1,1.5,1.9,3.3,5.2,895,45779,8158,17212,2.1
East,Mid-Atlantic,Myrtle Beach,29577,21.8,1.8,14.8,14.3,29.1,9302,38608,14010,31966,2.3
East,Mid-Atlantic,Myrtle Beach,29579,28.4,2.6,7.9,5.9,13.8,5383,49382,15997,39006,2.4
East,Mid-Atlantic,Myrtle Beach,29582,30.7,0.9,4.9,6.3,11.2,1857,47787,8181,16580,2
